,REPORTED_TERM,DESC_CODED,LLT_NAME_COMPL,PT_NAME_COMPL,HLT_NAME_COMPL,HLGT_NAME_COMPL,SOC_CODE,INC_CODE_J,ART_CODE,INC_CODE
100,AZITHROMYCIN AND CEFTRIAXONE FOR THE TREATMENT OF PLEURAL EFFUSION,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
121,PATIENT WAS TREATED WITH TERBINAFINE FOR FUSARIUM SOLANI KERATITIS,drug use for unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
167,FENTANYL USE FOR PELVIC PAIN DUE TO INTERSTITIAL CYSTITIS,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
204,URETERAL STONES,Ureterolithiasis,URETEROLITHIASIS,URETEROLITHIASIS,URINARY TRACT LITHIASIS (EXCL RENAL),UROLITHIASES,10038359,10077989,10077989,10077989
223,LIVER FUNCTION TEST INCREASED,Liver function test increased,LIVER FUNCTION TEST INCREASED,LIVER FUNCTION TEST INCREASED,LIVER FUNCTION ANALYSES,HEPATOBILIARY INVESTIGATIONS,10022891,10077692,10077692,10077692
270,NOT ABLE TO PERFORM ORDINARY GESTURES,Activities of daily living impaired,ACTIVITIES OF DAILY LIVING IMPAIRED,LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES,DISABILITY ISSUES,LIFESTYLE ISSUES,10041244,10050954,10079487,10050954
339,SEPTIC SHOCK WITH MULTIORGAN FAILURE,multiorgan failure,MULTIORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028162,10077361,10028162
448,MALIGNANT CATATONIA,Malignant catatonia,MALIGNANT CATATONIA,MALIGNANT CATATONIA,DECREASED PHYSICAL ACTIVITY LEVELS,CHANGES IN PHYSICAL ACTIVITY,10037175,10080149,10080149,10080149
457,CETIRIZINE HYDROCHLORIDE USED FOR PRURITUS,Product use in unapproved indication,PRODUCT USE IN UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10076476,10076476,10076476
488,HYDROXYCHLOROQUINE SULFATE USED FOR TREATMENT OF PULMONARY HEMOSIDEROSIS WITH NO ADVERSE EVENT,hydroxychloroquine sulfate used for treatment of pulmonary hemosiderosis with no adverse event,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
